代码,名称,市场,最新价,估算半年涨幅潜力%,技术面评分,综合评分,潜力逻辑,技术面逻辑,MA5,MA10,MA20,MA60,MACD_DIF,MACD_DEA,KDJ_K,KDJ_D,RSI,量比,20日涨幅%,布林上轨,布林中轨,布林下轨,支撑位,压力位,建议买入价,目标价(半年),止损价,优先等级
603601,再升科技,沪市主板,10.45,60,40,52.0,略高于60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调19%；量能温和；KDJ超买,完美多头；MACD金叉,10.33,10.23,9.64,9.45,0.291,0.171,72.73,69.68,66.4,1.31,17.68,11.02,9.64,8.27,8.27,11.02,9.45,16.72,8.02,1
300811,铂科新材,创业板,86.45,60,40,52.0,略高于60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调18%；量能温和；KDJ超买,完美多头；MACD金叉,84.58,83.74,80.58,75.98,2.758,2.357,77.79,78.12,70.92,1.18,15.92,89.19,80.58,71.96,71.96,89.19,78.96,138.32,69.8,1
600353,旭光电子,沪市主板,33.32,73,20,51.8,靠近60日线，突破后空间大；布林中轨下方，回归空间大；MACD零上死叉，回调中；较60日高点回调30%，超跌反弹；缩量；KDJ中位偏多,站上60日线；KDJ金叉未超买,33.88,33.07,33.52,32.71,0.315,0.338,64.43,60.97,50.84,0.92,-3.56,36.65,33.52,30.4,30.4,36.65,32.85,57.64,29.49,1
601579,会稽山,沪市主板,37.46,46,60,51.6,已远离60日线；布林上轨附近；MACD零上金叉，趋势延续；接近60日高点；量能放大；KDJ超买,完美多头；MACD金叉；量比1.8；突破20日新高,32.92,28.69,25.02,18.83,4.131,2.837,90.71,85.7,86.83,1.79,83.27,35.69,25.02,14.34,14.34,35.69,24.52,54.69,13.91,1
300725,药石科技,创业板,53.5,46,60,51.6,已远离60日线；布林上轨附近；MACD零上金叉，趋势延续；接近60日高点；量能放大；KDJ超买,完美多头；MACD金叉；量比1.7；突破20日新高,48.58,45.91,45.23,43.3,1.062,0.243,83.9,73.67,76.73,1.74,12.07,51.01,45.23,39.46,39.46,51.01,44.33,78.11,38.28,1
300502,新易盛,创业板,455.0,63,33,51.0,靠近60日线，突破后空间大；布林上轨附近；MACD零上金叉，趋势延续；较60日高点回调26%，回调充分；缩量；KDJ超买,短期多头；MACD金叉,440.95,425.24,412.75,449.74,3.354,-4.596,74.37,67.9,74.35,0.99,14.1,454.59,412.75,370.91,370.91,454.59,404.49,741.65,359.78,1
300408,三环集团,创业板,129.48,63,33,51.0,略高于60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调27%，回调充分；缩量；KDJ超买,短期多头；MACD金叉,129.63,126.0,118.75,119.65,3.527,1.785,73.35,78.11,82.28,0.99,19.13,135.53,118.75,101.96,101.96,135.53,116.37,211.05,98.9,1
603893,瑞芯微,沪市主板,217.8,55,45,51.0,略高于60日线；布林上轨附近；MACD零上金叉，趋势延续；接近60日高点；放量启动；KDJ超买,站上60日线；MACD金叉；量比2.1；突破20日新高,193.48,187.36,188.4,195.48,0.95,-2.014,72.34,49.29,64.88,2.14,23.62,209.55,188.4,167.24,167.24,209.55,184.63,337.59,162.22,1
301071,力量钻石,创业板,68.5,63,33,51.0,略高于60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调28%，回调充分；缩量；KDJ超买,短期多头；MACD金叉,70.09,66.95,63.88,64.29,2.274,1.362,82.24,82.91,64.62,0.89,20.18,72.39,63.88,55.36,55.36,72.39,62.6,111.65,53.7,1
300207,欣旺达,创业板,19.28,58,40,50.8,略高于60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；接近60日高点；量能温和；KDJ中位偏多,完美多头；MACD金叉,19.8,18.89,18.14,18.01,0.421,0.161,66.48,66.7,69.36,1.26,6.11,20.34,18.14,15.94,15.94,20.34,17.78,30.46,15.46,1
301366,一博科技,创业板,72.16,51,50,50.6,已远离60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；接近60日高点；量能放大；KDJ超买,完美多头；MACD金叉；量比1.6,71.0,66.24,61.14,52.96,5.011,3.795,80.87,77.97,78.52,1.6,34.58,74.45,61.14,47.83,47.83,74.45,59.92,108.96,46.4,1
300142,沃森生物,创业板,14.02,67,25,50.2,略高于60日线；布林中上部，仍有空间；MACD底部金叉，反弹动能强；较60日高点回调17%；量能温和；KDJ超买,站上60日线；MACD金叉,13.41,13.3,13.56,13.27,-0.006,-0.033,70.96,53.25,63.79,1.22,-8.13,15.02,13.56,12.1,12.1,15.02,13.29,23.41,11.74,1
300620,光库科技,创业板,292.0,70,20,50.0,靠近60日线，突破后空间大；布林中轨下方，回归空间大；MACD零上死叉，回调中；较60日高点回调22%，回调充分；量能温和；KDJ中位偏多,站上60日线；KDJ金叉未超买,294.84,292.66,293.65,281.41,1.293,1.843,51.65,49.56,54.3,1.03,2.45,312.93,293.65,274.37,274.37,312.93,287.77,496.4,266.14,1
601869,长飞光纤,沪市主板,456.6,56,40,49.6,已远离60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调16%；量能温和；KDJ中位偏多,完美多头；MACD金叉,459.72,457.2,431.26,388.51,23.101,21.679,66.43,73.92,63.64,1.05,17.67,490.81,431.26,371.72,371.72,490.81,422.64,712.3,360.57,1
603002,宏昌电子,沪市主板,19.8,56,40,49.6,已远离60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调23%，回调充分；缩量；KDJ超买,完美多头；MACD金叉,19.38,18.52,17.49,16.66,0.918,0.64,81.69,78.17,75.15,0.93,28.82,20.4,17.49,14.57,14.57,20.4,17.14,30.89,14.13,1
600410,华胜天成,沪市主板,16.48,55,40,49.0,略高于60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；接近60日高点；量能温和；KDJ超买,完美多头；MACD金叉,16.45,15.72,14.99,14.71,0.538,0.274,75.3,77.83,68.0,1.38,23.63,17.2,14.99,12.78,12.78,17.2,14.69,25.54,12.4,1
603236,移远通信,沪市主板,76.15,48,50,48.8,已远离60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；接近60日高点；量能温和；KDJ超买,完美多头；MACD金叉；突破20日新高,73.16,67.59,64.04,55.77,4.69,3.51,89.01,82.23,73.89,1.1,40.32,76.41,64.04,51.67,51.67,76.41,62.76,112.7,50.12,1
301018,申菱环境,创业板,102.22,68,20,48.8,靠近60日线，突破后空间大；布林中轨下方，回归空间大；MACD零上死叉，回调中；较60日高点回调23%，回调充分；缩量；KDJ中位偏多,站上60日线；KDJ金叉未超买,103.36,100.5,103.17,97.6,1.689,1.865,55.83,48.21,44.52,0.71,-0.37,111.79,103.17,94.54,94.54,111.79,101.1,171.73,91.7,1
603186,华正新材,沪市主板,226.5,54,40,48.4,已远离60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调14%；缩量；KDJ中位偏多,完美多头；MACD金叉,233.79,230.7,205.63,172.46,18.653,17.495,55.44,67.26,66.83,0.74,29.17,260.98,205.63,150.28,150.28,260.98,201.52,348.81,145.77,1
600150,中国船舶,沪市主板,40.12,53,40,47.8,略高于60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；接近60日高点；缩量；KDJ超买,完美多头；MACD金叉,39.47,39.46,37.48,35.32,1.447,1.248,70.31,67.74,72.03,0.77,17.62,42.58,37.48,32.39,32.39,42.58,36.74,61.38,31.42,1
603936,博敏电子,沪市主板,22.62,53,40,47.8,已远离60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调16%；量能温和；KDJ超买,完美多头；MACD金叉,21.88,21.19,19.31,17.39,1.416,1.1,76.69,76.64,78.11,1.48,33.45,23.8,19.31,14.82,14.82,23.8,18.92,34.61,14.38,1
600721,百花医药,沪市主板,14.47,56,35,47.6,已远离60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调13%；量能放大；KDJ超买,站上60日线；MACD金叉；量比1.7,12.45,11.8,12.66,10.37,0.213,0.155,75.63,52.58,60.52,1.66,-4.55,16.03,12.66,9.3,9.3,16.03,12.41,22.57,9.02,1
301080,百普赛斯,创业板,118.8,46,50,47.6,已远离60日线；布林上轨附近；MACD零上金叉，趋势延续；接近60日高点；量能放大；KDJ超买,完美多头；MACD金叉；量比1.6,107.13,96.76,90.34,71.91,8.888,6.206,79.58,75.33,73.55,1.59,34.54,114.35,90.34,66.33,66.33,114.35,88.54,173.45,64.34,1
000560,我爱我家,深市主板,3.51,49,45,47.4,已远离60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；接近60日高点；缩量；KDJ中位偏多,站上60日线；MACD金叉；KDJ金叉未超买；突破20日新高,3.01,2.91,2.92,2.42,0.17,0.151,62.59,43.21,56.09,0.9,46.25,3.55,2.92,2.29,2.29,3.55,2.86,5.23,2.22,1
600028,中国石化,沪市主板,5.31,65,20,47.0,靠近60日线，突破后空间大；布林中轨下方，回归空间大；MACD零上死叉，回调中；接近60日高点；量能温和；KDJ超卖，反弹在即,站上60日线；KDJ金叉未超买,5.22,5.35,5.39,5.16,0.012,0.049,29.49,29.01,44.23,1.26,-0.38,5.67,5.39,5.12,5.12,5.67,5.28,8.76,4.97,1
603068,博通集成,沪市主板,48.17,48,45,46.8,已远离60日线；布林上轨附近；MACD零上金叉，趋势延续；接近60日高点；放量启动；KDJ超买,站上60日线；MACD金叉；量比2.8；突破20日新高,40.86,38.43,38.61,38.52,0.838,-0.093,77.08,55.22,67.86,2.77,32.23,45.18,38.61,32.04,32.04,45.18,37.84,71.29,31.08,1
300548,长芯博创,创业板,236.2,51,40,46.6,已远离60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调16%；缩量；KDJ超买,完美多头；MACD金叉,236.77,223.24,214.71,196.19,10.91,8.058,78.57,72.92,67.16,0.92,22.47,244.06,214.71,185.36,185.36,244.06,210.41,356.66,179.8,1
603039,XD泛微网络,沪市主板,39.7,57,30,46.2,略高于60日线；布林中上部，仍有空间；MACD空头；较60日高点回调19%；放量启动；KDJ中低位,站上60日线；KDJ金叉未超买；量比2.4,36.61,36.39,38.07,37.51,-0.889,-0.873,48.11,26.26,50.34,2.4,0.86,42.28,38.07,33.86,33.86,42.28,37.31,62.33,32.84,1
300750,宁德时代,创业板,304.63,70,10,46.0,靠近60日线，突破后空间大；布林中轨下方，回归空间大；MACD空头；较60日高点回调25%，回调充分；量能温和；KDJ超卖，反弹在即,KDJ金叉未超买,302.69,317.23,337.35,367.65,-20.357,-16.98,12.13,12.03,23.53,1.38,-19.62,388.04,337.35,286.65,286.65,388.04,330.6,517.87,278.05,1
600547,山东黄金,沪市主板,31.45,70,10,46.0,靠近60日线，突破后空间大；布林中轨下方，回归空间大；MACD零上死叉，回调中；较60日高点回调19%；量能温和；KDJ超卖，反弹在即,站上60日线,32.89,33.96,35.25,30.36,0.073,0.878,11.55,20.13,16.8,1.03,-8.81,39.09,35.25,31.41,30.36,39.09,34.54,53.46,29.45,1
300759,康龙化成,创业板,44.46,60,25,46.0,略高于60日线；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调17%；量能温和；KDJ超买,站上60日线；MACD金叉,43.96,42.83,42.88,40.83,0.276,0.16,73.8,67.45,58.73,1.1,0.63,45.5,42.88,40.25,40.25,45.5,42.02,71.14,39.04,1
600048,保利发展,沪市主板,5.68,50,40,46.0,略高于60日线；布林上轨附近；MACD零上金叉，趋势延续；接近60日高点；量能温和；KDJ超买,完美多头；MACD金叉,5.35,5.23,5.18,5.09,0.073,0.015,76.72,62.67,77.55,1.4,7.98,5.6,5.18,4.75,4.75,5.6,5.07,8.52,4.61,1
600127,金健米业,沪市主板,16.47,43,50,45.8,已远离60日线；布林上轨附近；MACD零上金叉，趋势延续；接近60日高点；量能温和；KDJ超买,完美多头；MACD金叉；突破20日新高,14.28,14.02,13.18,8.43,1.712,1.651,79.93,67.7,67.03,1.1,68.06,16.38,13.18,9.97,8.43,16.38,12.91,23.55,8.18,1
300684,中石科技,创业板,111.76,43,50,45.8,已远离60日线；布林上轨附近；MACD零上金叉，趋势延续；接近60日高点；量能温和；KDJ超买,完美多头；MACD金叉；突破20日新高,99.4,92.34,92.09,71.39,7.08,6.312,75.39,59.93,66.87,1.34,27.87,106.39,92.09,77.78,71.39,106.39,90.25,159.82,69.25,1
300454,深信服,创业板,151.13,43,50,45.8,已远离60日线；布林上轨附近；MACD零上金叉，趋势延续；接近60日高点；量能温和；KDJ超买,完美多头；MACD金叉；突破20日新高,141.7,136.46,132.84,118.94,6.168,4.867,74.6,66.11,77.28,1.32,34.18,149.35,132.84,116.34,116.34,149.35,130.19,216.12,112.85,1
300209,行云科技,创业板,38.15,46,45,45.6,已远离60日线；布林上轨附近；MACD零上金叉，趋势延续；接近60日高点；量能温和；KDJ中位偏多,站上60日线；MACD金叉；KDJ金叉未超买；突破20日新高,35.65,35.93,35.37,32.07,0.757,0.752,64.4,53.8,62.53,1.05,9.25,38.1,35.37,32.64,32.07,38.1,34.66,55.7,31.11,1
